PID,Player,Span,Mat,Inns,Balls,Runs,Wkts,Bbm,Ave,Econ,Sr,5s,10s,Ct,St,Country,Format
1,EL a'Beckett,1928-1932,4,8,1062,317,3,1/66,105.66,1.79,354.0,0,0,4,0,Australia,Test
2,AC Agar,2013-2017,4,8,874,410,9,5/101,45.55,2.81,97.1,0,0,0,0,Australia,Test
3,TM Alderman,1981-1991,41,73,10181,4616,170,10/151,27.15,2.72,59.8,14,1,27,0,Australia,Test
4,G Alexander,1880-1884,2,2,168,93,2,2/69,46.50,3.32,84.0,0,0,2,0,Australia,Test
5,HH Alexander,1933-1933,1,2,276,154,1,1/154,154.00,3.34,276.0,0,0,0,0,Australia,Test
6,FE Allan,1879-1879,1,2,180,80,4,4/80,20.00,2.66,45.0,0,0,0,0,Australia,Test
7,PJ Allan,1965-1965,1,2,192,83,2,2/83,41.50,2.59,96.0,0,0,0,0,Australia,Test
8,RC Allen,1887-1887,1,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
9,TJE Andrews,1921-1926,16,4,156,116,1,1/23,116.00,4.46,156.0,0,0,12,0,Australia,Test
10,J Angel,1993-1995,4,7,748,463,10,5/146,46.30,3.71,74.8,0,0,1,0,Australia,Test
11,KA Archer,1950-1951,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
12,RG Archer,1953-1956,19,35,3576,1318,48,6/65,27.45,2.21,74.5,1,0,20,0,Australia,Test
13,WW Armstrong,1902-1921,50,80,8022,2923,87,7/166,33.59,2.18,92.2,3,0,44,0,Australia,Test
14,CL Badcock,1936-1938,7,0,0,0,0,0,0,0,0,0,0,3,0,Australia,Test
15,GJ Bailey,2013-2014,5,0,0,0,0,0,0,0,0,0,0,10,0,Australia,Test
16,CT Bancroft,2017-2018,7,0,0,0,0,0,0,0,0,0,0,9,0,Australia,Test
17,AC Bannerman,1879-1893,28,4,292,163,4,3/111,40.75,3.34,73.0,0,0,21,0,Australia,Test
18,C Bannerman,1877-1879,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
19,W Bardsley,1909-1926,41,0,0,0,0,0,0,0,0,0,0,12,0,Australia,Test
20,SG Barnes,1938-1948,13,9,594,218,4,2/25,54.50,2.20,148.5,0,0,14,0,Australia,Test
21,BA Barnett,1938-1938,4,0,0,0,0,0,0,0,0,0,0,3,2,Australia,Test
22,JE Barrett,1890-1890,2,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
23,GR Beard,1980-1980,3,4,259,109,1,1/26,109.00,2.52,259.0,0,0,0,0,Australia,Test
24,MA Beer,2011-2012,2,3,406,178,3,2/66,59.33,2.63,135.3,0,0,1,0,Australia,Test
25,J Benaud,1972-1973,3,1,24,12,2,2/12,6.00,3.00,12.0,0,0,0,0,Australia,Test
26,R Benaud,1952-1964,63,116,19108,6704,248,11/105,27.03,2.10,77.0,16,1,65,0,Australia,Test
27,MJ Bennett,1984-1985,3,5,665,325,6,5/124,54.16,2.93,110.8,0,0,5,0,Australia,Test
28,MG Bevan,1994-1998,18,21,1285,703,29,10/113,24.24,3.28,44.3,1,1,8,0,Australia,Test
29,AJ Bichel,1997-2003,19,37,3337,1870,58,6/125,32.24,3.36,57.5,1,0,16,0,Australia,Test
30,JM Bird,2012-2017,9,17,1934,1042,34,7/117,30.64,3.23,56.8,1,0,2,0,Australia,Test
31,JM Blackham,1877-1894,35,0,0,0,0,0,0,0,0,0,0,37,24,Australia,Test
32,DD Blackie,1928-1929,3,5,1260,444,14,7/169,31.71,2.11,90.0,1,0,2,0,Australia,Test
33,GS Blewett,1995-2000,46,42,1436,720,14,2/9,51.42,3.00,102.5,0,0,45,0,Australia,Test
34,DE Bollinger,2009-2010,12,23,2401,1296,50,8/141,25.92,3.23,48.0,2,0,2,0,Australia,Test
35,GJ Bonnor,1880-1888,17,4,164,84,2,1/5,42.00,3.07,82.0,0,0,16,0,Australia,Test
36,DC Boon,1984-1996,107,3,36,14,0,0,0,2.33,0,0,0,99,0,Australia,Test
37,BC Booth,1961-1966,29,12,436,146,3,2/33,48.66,2.00,145.3,0,0,17,0,Australia,Test
38,AR Border,1978-1994,156,98,4009,1525,39,11/96,39.10,2.28,102.7,2,1,156,0,Australia,Test
39,HF Boyle,1879-1884,12,21,1743,641,32,7/69,20.03,2.20,54.4,1,0,10,0,Australia,Test
40,NW Bracken,2003-2005,5,10,1110,505,12,4/71,42.08,2.72,92.5,0,0,2,0,Australia,Test
41,DG Bradman,1928-1948,52,9,160,72,2,1/15,36.00,2.70,80.0,0,0,32,0,Australia,Test
42,RJ Bright,1977-1986,25,39,5541,2180,53,10/111,41.13,2.36,104.5,4,1,13,0,Australia,Test
43,EH Bromley,1933-1934,2,1,60,19,0,0,0,1.90,0,0,0,2,0,Australia,Test
44,WA Brown,1934-1948,22,0,0,0,0,0,0,0,0,0,0,14,0,Australia,Test
45,W Bruce,1885-1895,14,15,988,440,12,3/92,36.66,2.67,82.3,0,0,12,0,Australia,Test
46,PJP Burge,1955-1966,42,0,0,0,0,0,0,0,0,0,0,23,0,Australia,Test
47,JW Burke,1951-1959,24,16,814,230,8,4/52,28.75,1.69,101.7,0,0,18,0,Australia,Test
48,EJK Burn,1890-1890,2,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
49,JA Burns,2014-2016,13,0,0,0,0,0,0,0,0,0,0,15,0,Australia,Test
50,FJ Burton,1887-1888,2,0,0,0,0,0,0,0,0,0,0,1,1,Australia,Test
51,ST Callaway,1892-1895,3,6,471,142,6,5/56,23.66,1.80,78.5,1,0,0,0,Australia,Test
52,IW Callen,1978-1978,1,2,440,191,6,6/191,31.83,2.60,73.3,0,0,1,0,Australia,Test
53,GD Campbell,1989-1990,4,8,951,503,13,5/143,38.69,3.17,73.1,0,0,1,0,Australia,Test
54,W Carkeek,1912-1912,6,0,0,0,0,0,0,0,0,0,0,6,0,Australia,Test
55,PH Carlson,1979-1979,2,3,368,99,2,2/75,49.50,1.61,184.0,0,0,2,0,Australia,Test
56,H Carter,1907-1921,28,0,0,0,0,0,0,0,0,0,0,44,21,Australia,Test
57,HWR Cartwright,2017-2017,2,2,54,31,0,0,0,3.44,0,0,0,0,0,Australia,Test
58,B Casson,2008-2008,1,2,192,129,3,3/129,43.00,4.03,64.0,0,0,2,0,Australia,Test
59,GS Chappell,1970-1984,87,88,5327,1913,47,5/61,40.70,2.15,113.3,1,0,122,0,Australia,Test
60,IM Chappell,1964-1980,75,60,2873,1316,20,2/31,65.80,2.74,143.6,0,0,105,0,Australia,Test
61,TM Chappell,1981-1981,3,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
62,PC Charlton,1890-1890,2,2,45,24,3,3/24,8.00,3.20,15.0,0,0,0,0,Australia,Test
63,AG Chipperfield,1934-1938,14,14,924,437,5,3/91,87.40,2.83,184.8,0,0,15,0,Australia,Test
64,SR Clark,2006-2009,24,48,5146,2243,94,9/89,23.86,2.61,54.7,2,0,4,0,Australia,Test
65,WM Clark,1977-1979,10,18,2793,1265,44,8/147,28.75,2.71,63.4,0,0,6,0,Australia,Test
66,MJ Clarke,2004-2015,115,65,2435,1184,31,6/9,38.19,2.91,78.5,2,0,134,0,Australia,Test
67,DJ Colley,1972-1972,3,6,729,312,6,4/151,52.00,2.56,121.5,0,0,1,0,Australia,Test
68,HL Collins,1920-1926,19,12,654,252,4,2/84,63.00,2.31,163.5,0,0,13,0,Australia,Test
69,A Coningham,1894-1895,1,2,186,76,2,2/76,38.00,2.45,93.0,0,0,0,0,Australia,Test
70,AN Connolly,1963-1971,29,55,7818,2981,102,7/109,29.22,2.28,76.6,4,0,17,0,Australia,Test
71,SH Cook,1997-1997,2,4,224,142,7,7/75,20.28,3.80,32.0,1,0,0,0,Australia,Test
72,BB Cooper,1877-1877,1,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
73,WH Cooper,1881-1884,2,3,446,226,9,9/200,25.11,3.04,49.5,1,0,1,0,Australia,Test
74,TA Copeland,2011-2011,3,6,648,227,6,3/87,37.83,2.10,108.0,0,0,2,0,Australia,Test
75,GE Corling,1964-1964,5,8,1159,447,12,4/60,37.25,2.31,96.5,0,0,0,0,Australia,Test
76,GJ Cosier,1975-1978,18,19,899,341,5,2/26,68.20,2.27,179.8,0,0,14,0,Australia,Test
77,JT Cottam,1887-1887,1,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
78,A Cotter,1904-1912,21,38,4633,2549,89,9/221,28.64,3.30,52.0,7,0,8,0,Australia,Test
79,G Coulthard,1882-1882,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
80,EJM Cowan,2011-2013,18,0,0,0,0,0,0,0,0,0,0,24,0,Australia,Test
81,RM Cowper,1964-1968,27,36,3005,1139,36,7/135,31.63,2.27,83.4,0,0,21,0,Australia,Test
82,ID Craig,1953-1958,11,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
83,WPA Crawford,1956-1956,4,7,437,107,7,4/50,15.28,1.46,62.4,0,0,1,0,Australia,Test
84,DJ Cullen,2006-2006,1,2,84,54,1,1/54,54.00,3.85,84.0,0,0,0,0,Australia,Test
85,PJ Cummins,2011-2018,12,22,2622,1286,50,8/119,25.72,2.94,52.4,1,0,4,0,Australia,Test
