PID,Player,Span,Mat,Inns,No,Runs,Hs,Ave,100,50,Ducks,Country,Format
1,EL a'Beckett,1928-1932,4,7,0,143,41,20.42,0,0,0,Australia,Test
2,AC Agar,2013-2017,4,7,1,195,98,32.50,0,1,0,Australia,Test
3,TM Alderman,1981-1991,41,53,22,203,26*,6.54,0,0,13,Australia,Test
4,G Alexander,1880-1884,2,4,0,52,33,13.00,0,0,0,Australia,Test
5,HH Alexander,1933-1933,1,2,1,17,17*,17.00,0,0,1,Australia,Test
6,FE Allan,1879-1879,1,1,0,5,5,5.00,0,0,0,Australia,Test
7,PJ Allan,1965-1965,1,0,0,0.00,0,0,0,0,0,Australia,Test
8,RC Allen,1887-1887,1,2,0,44,30,22.00,0,0,0,Australia,Test
9,TJE Andrews,1921-1926,16,23,1,592,94,26.90,0,4,0,Australia,Test
10,J Angel,1993-1995,4,7,1,35,11,5.83,0,0,2,Australia,Test
11,KA Archer,1950-1951,5,9,0,234,48,26.00,0,0,1,Australia,Test
12,RG Archer,1953-1956,19,30,1,713,128,24.58,1,2,4,Australia,Test
13,WW Armstrong,1902-1921,50,84,10,2863,159*,38.68,6,8,6,Australia,Test
14,CL Badcock,1936-1938,7,12,1,160,118,14.54,1,0,4,Australia,Test
15,GJ Bailey,2013-2014,5,8,1,183,53,26.14,0,1,1,Australia,Test
16,CT Bancroft,2017-2018,7,12,1,299,82*,27.18,0,2,1,Australia,Test
17,AC Bannerman,1879-1893,28,50,2,1108,94,23.08,0,8,3,Australia,Test
18,C Bannerman,1877-1879,3,6,2,239,165*,59.75,1,0,0,Australia,Test
19,W Bardsley,1909-1926,41,66,5,2469,193*,40.47,6,14,6,Australia,Test
20,SG Barnes,1938-1948,13,19,2,1072,234,63.05,3,5,1,Australia,Test
21,BA Barnett,1938-1938,4,8,1,195,57,27.85,0,1,0,Australia,Test
22,JE Barrett,1890-1890,2,4,1,80,67*,26.66,0,1,1,Australia,Test
23,GR Beard,1980-1980,3,5,0,114,49,22.80,0,0,0,Australia,Test
24,MA Beer,2011-2012,2,3,1,6,2*,3.00,0,0,0,Australia,Test
25,J Benaud,1972-1973,3,5,0,223,142,44.60,1,0,0,Australia,Test
26,R Benaud,1952-1964,63,97,7,2201,122,24.45,3,9,8,Australia,Test
27,MJ Bennett,1984-1985,3,5,2,71,23,23.66,0,0,0,Australia,Test
